x,y,t
-0.4459835205078125,-1.0918594970703126,0.030166149139404297
-0.410262939453125,-0.9702420043945312,1.0624349117279053
-0.3784366455078125,-0.8870604858398438,2.0889763832092285
-0.29273583984375,-0.6971583862304688,3.1168534755706787
-0.2318507080078125,-0.5687852783203124,4.1437482833862305
-0.17603662109375,-0.4435089416503906,5.168540000915527
-0.1395465087890625,-0.3316925964355469,6.1875128746032715
-0.1088280029296875,-0.26919744873046875,7.197296857833862
-0.0723758544921875,-0.2007239227294922,8.224483966827393
-0.0278839111328125,-0.10918865966796874,9.252230644226074
0.0045924072265625,-0.0385272216796875,10.278282165527344
0.036912841796875,0.032943286895751954,11.304497003555298
0.0782176513671875,0.12926205444335936,12.331366300582886
0.10971734619140625,0.20214761352539062,13.358563423156738
0.1375963134765625,0.2779639892578125,14.386573553085327
0.17690924072265626,0.37689920043945313,15.395362854003906
0.202876220703125,0.4383558349609375,16.41481876373291
0.231278564453125,0.49766433715820313,17.440623998641968
0.286306884765625,0.6150208740234375,18.467036247253418
0.32242962646484374,0.6900343017578126,19.494378805160522
0.355791748046875,0.7647424926757812,20.521387100219727
0.398531982421875,0.8610648803710937,21.54740262031555
0.43554949951171873,0.9445159301757813,22.57154631614685
0.473884521484375,1.0195269775390625,23.596691608428955
